Model,Accuracy,Precision,Recall,F1,ROC-AUC,Sensitivity,Specificity
Logistic Regression (Tuned),0.9349593495934959,0.9499009797790285,0.9349593495934959,0.9400904198615446,0.9848300360589713,0.8358566978193147,0.9757607347197185
Random Forest (Tuned),0.9349593495934959,0.9357723577235771,0.9349593495934959,0.9346308614601297,0.9755425148757347,0.5829283489096573,0.9648732374305655
XGBoost (Tuned),0.9512195121951219,0.9433877825016783,0.9512195121951219,0.9468602009252415,0.9936954777497873,0.5866666666666667,0.9682488249537103
